DISTRICTE;CODI_ILLA;SECC_CENS;BARRI;NOM_DISTRICTE;NOM_BARRI;AEB;HABITANTS;NUM_PARC;NUM_LOCALS;NUM_VIVENDES;NUM_PARKINGS;NUM_ALTRES;SUP_CONS;SUP_SOBRE_RASANT;SUP_SOTA_RASANT;SUP_LOCALS;SUP_SERVEIS;SUP_SOL;DATA_DADES
03;23290;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;0;0;0;0;0;0;0;0;0;11809;15/04/15
03;70011;053;15;Sants-Montjuic;Hostafrancs;067;506;47;413;241;44;128;36258;34526;1732;31420;4838;13245;15/04/15
03;70012;053;15;Sants-Montjuic;Hostafrancs;067;176;15;129;93;0;36;11758;11758;0;10837;921;3252;15/04/15
03;70020;053;15;Sants-Montjuic;Hostafrancs;067;256;11;233;123;68;42;16012;14736;1276;14941;1071;3313;15/04/15
03;70030;052;15;Sants-Montjuic;Hostafrancs;067;0;1;389;0;0;389;2810;2810;0;1435;1375;3050;15/04/15
03;70040;052;15;Sants-Montjuic;Hostafrancs;067;213;17;164;127;0;37;10587;10392;195;9641;946;2625;15/04/15
03;70050;051;15;Sants-Montjuic;Hostafrancs;067;329;25;337;183;88;66;19954;19909;45;18484;1470;4804;15/04/15
03;70060;051;15;Sants-Montjuic;Hostafrancs;067;343;24;354;174;119;61;22956;19493;3463;19235;3721;5679;15/04/15
03;70070;052;15;Sants-Montjuic;Hostafrancs;067;280;24;213;158;10;45;18293;17484;809;16090;2203;4288;15/04/15
03;70080;052;15;Sants-Montjuic;Hostafrancs;067;191;14;132;86;0;46;12623;12467;156;11754;869;4256;15/04/15
03;70090;053;15;Sants-Montjuic;Hostafrancs;067;332;19;227;169;10;48;22345;20251;2094;20534;1811;5951;15/04/15
03;70100;053;15;Sants-Montjuic;Hostafrancs;067;420;35;304;224;9;71;20546;20414;132;18455;1961;5826;15/04/15
03;70110;053;15;Sants-Montjuic;Hostafrancs;067;460;23;360;229;70;61;24603;23721;882;21700;2903;5210;15/04/15
03;70120;052;15;Sants-Montjuic;Hostafrancs;067;242;16;190;150;9;31;14161;13544;617;12388;1773;3624;15/04/15
03;70130;052;15;Sants-Montjuic;Hostafrancs;067;307;19;218;144;14;60;17386;16762;624;15474;1912;4383;15/04/15
03;70140;051;15;Sants-Montjuic;Hostafrancs;067;557;20;393;240;113;40;25056;22751;2305;21037;4019;5613;15/04/15
03;70150;052;15;Sants-Montjuic;Hostafrancs;067;16;1;14;8;0;6;1498;1498;0;1407;91;390;15/04/15
03;70160;056;15;Sants-Montjuic;Hostafrancs;067;862;16;515;432;4;79;41166;40432;734;37959;3207;8949;15/04/15
03;70170;055;15;Sants-Montjuic;Hostafrancs;067;1562;25;2186;797;1192;197;109029;95583;13446;96465;12564;16830;15/04/15
03;70180;054;15;Sants-Montjuic;Hostafrancs;067;1504;27;1095;622;378;95;81734;79470;2264;72713;9021;14842;15/04/15
03;70190;054;15;Sants-Montjuic;Hostafrancs;067;316;12;256;169;56;31;19592;19592;0;17822;1770;3120;15/04/15
03;70200;047;15;Sants-Montjuic;Hostafrancs;066;360;24;304;198;39;67;57575;44386;13189;54711;2864;12619;15/04/15
